,Distance to the closest Airport (kms),Distance to the closest Builtup (kms),Distance to the closest roads (kms),Distance to the closest Agricultural area (kms),Distance to the closest Settlement (kms),Distance to the closest Vegetation (kms),Distance to the closest Water (kms),Distance to the closest Forest (kms),Distance to the closest Grassland (kms),Lat,Long,Australia,France,India,Italy,Japan,Philippines,Portugal,Scotland,South Africa,Spain,Thailand,Turkey,Wind speed at 50,Wind speed at 100,Wind speed at 200
24,25.59930739125,34.092405451875,3.6699506026875,3.17904424925,4.796589885875,5.614563468875,8.56466342175,0.7316802284062501,1.062655765375,37.95303644000001,13.01014294625,0,0,0,1,0,0,0,0,0,0,0,0,5.074166875,5.467421875000001,6.017572499999999
25,151.37911036216218,24.904112444054054,8.519037204540544,3.3984351123783783,16.761604502702706,2.6310702857297303,20.97510234432433,3.1027742627567565,7.156782775027026,42.00864950297297,-2.047280304486487,0,0,0,0,0,0,0,0,0,1,0,0,6.927345945945946,7.681518108108108,8.370152702702704
26,74.902258674,24.409486573666662,3.5958520274000008,3.9900815801,3.261110898333333,23.08072820666667,21.587520905333328,6.120606390866668,1.3625262506066669,37.763094215,13.766477253999994,0,0,0,1,0,0,0,0,0,0,0,0,4.288326666666667,4.684721333333332,5.2229003333333335
29,267.84296182,25.067624126,8.8815123376,0.4676393178800001,2.5297259,32.867193342,8.2097102022,0.7357055798800001,1.4786635456,49.512828778,5.5465140032,0,1,0,0,0,0,0,0,0,0,0,0,5.094600000000002,6.384134,7.5118740000000015
30,323.9292559263159,17.333677213684204,11.435750493736846,0.4941325843905262,4.695527444421051,86.79099507736841,17.54780392578947,1.4897171211000002,1.4879709712210525,45.162709112105254,3.295457287263158,0,1,0,0,0,0,0,0,0,0,0,0,5.516384736842105,6.349177894736843,7.308381578947369
31,210.5795629,10.855461841428571,8.144090524214286,0.5384314669071428,6.255153262642857,1.3384065179285716,17.043627382857142,1.9805691990714287,17.963027957857143,41.46764749571429,-1.6226429504999995,0,0,0,0,0,0,0,0,0,1,0,0,6.230138571428572,6.712894285714286,7.217977142857145
32,60.86033347829788,26.89737767425531,4.199641813382978,6.443591411531915,4.0095070953404255,14.097398347021274,10.498556201234043,4.0705552317021265,2.050235906646809,36.484583704893616,-5.885409913361701,0,0,0,0,0,0,0,0,0,1,0,0,5.657894468085106,6.825369361702127,8.00753914893617
34,105.30455133018866,33.97960812084905,4.563947083820754,7.655721059415091,4.081066157584905,3.667571671801888,9.379212536471696,3.245484726333017,17.425221917641508,37.05079798867925,-4.983330909839621,0,0,0,0,0,0,0,0,0,1,0,0,5.3878876415094314,6.469930377358492,7.510261037735852
35,59.3624231160606,50.81605873242424,1.8862077649454552,1.2488556769878791,7.843244704909092,5.829215361424242,14.458109826969697,2.9119300387878786,2.1220394686363635,39.96489589151514,-0.667588726009091,0,0,0,0,0,0,0,0,0,1,0,0,6.159561212121212,6.877935757575758,7.402175454545455
36,91.87037713515151,20.790093153333334,8.35274835921212,1.234532453633333,2.8066439492424236,8.872572855878786,9.399367066454543,3.6805610350606073,5.7861317513636354,41.07354100999999,-7.5581508471818175,0,0,0,0,0,0,1,0,0,0,0,0,5.893287272727273,6.558600606060607,7.2460884848484834
