,Distance to the closest Airport (kms),Distance to the closest Builtup (kms),Distance to the closest roads (kms),Distance to the closest Agricultural area (kms),Distance to the closest Settlement (kms),Distance to the closest Vegetation (kms),Distance to the closest Water (kms),Distance to the closest Forest (kms),Distance to the closest Grassland (kms),Lat,Long,Australia,France,India,Italy,Japan,Philippines,Portugal,Scotland,South Africa,Spain,Thailand,Turkey,Wind speed at 50,Wind speed at 100,Wind speed at 200
805,105.56570305,3.2314338427499996,3.53801415875,1.2019162980500002,0.16518127960999998,8.183873929749996,0.51850485345,5.26654239875,2.68689421625,50.7226909525,1.56534225875,0,1,0,0,0,0,0,0,0,0,0,0,7.3347,7.990399999999998,8.7360725
944,347.3919222,10.3234288625,3.37963189025,4.684421835249999,1.7666633277500001,34.191845635,17.2763847775,2.27805179725,0.4117200381075,49.14396977,6.521929229,0,1,0,0,0,0,0,0,0,0,0,0,5.648295,6.820450000000001,7.697427500000001
140,177.8501911,15.980489453333336,7.2591999845,24.81300904333333,2.3666247953333333,20.51400523,7.066514539499999,3.2823212045,7.1737119996666685,48.19914501333333,1.4193167860000002,0,1,0,0,0,0,0,0,0,0,0,0,5.5130750000000015,6.80577,7.972956666666668
804,113.306747875,30.86835982125,2.94829837375,3.237997048625,1.37497012335,28.930306750000003,27.406955711250006,3.632967026875,1.2440972869375,50.23499077250001,2.355210263875,0,1,0,0,0,0,0,0,0,0,0,0,5.94792875,7.2373475,8.41802125
879,237.55049352,39.63427120333333,4.586053918133333,9.9001399026,2.406320995133333,22.587817166,24.026416708000003,5.150337538733334,3.5377386168,49.363193219333326,4.558158785133333,0,1,0,0,0,0,0,0,0,0,0,0,5.522073333333332,6.7608706666666665,7.791009999999999
545,44.43858695,30.39388316,3.526632483,3.057095854,5.160230909,35.00434712,4.597869947,5.945766441,0.1607622965,22.07991538,69.90133319,0,0,1,0,0,0,0,0,0,0,0,0,4.39318,5.8105400000000005,5.8105400000000005
123,68.82392620166665,36.206241472916666,12.796300724625006,23.118961828472226,3.517860215531944,30.32807592555555,3.6476870684736102,9.341618172597231,4.691244586377776,22.01851779263889,71.36804139138887,0,0,1,0,0,0,0,0,0,0,0,0,5.010653472222222,6.41112138888889,6.41112138888889
181,143.93637431764705,35.91579208117646,8.536126759264706,3.484151859647058,3.497744851970588,16.65360093823529,8.317260862823531,1.0064723987,1.7901372727852944,40.65513988117647,15.196572327647056,0,0,0,1,0,0,0,0,0,0,0,0,2.8399126470588243,3.158047352941177,3.421380588235295
506,127.45396095312503,21.239782506875,7.81656965365625,7.303527320968751,2.2926546482968755,45.472482024375,16.302369746875,4.637594957968751,5.576210826562499,41.3355926425,15.278842671562495,0,0,0,1,0,0,0,0,0,0,0,0,4.17947875,4.789952812500001,5.354223437499999
13,72.02928716875,30.482189699375,6.162342193750002,8.292022198125,5.0327051123125015,18.02649324625,10.1064225079375,7.3819633661875,3.8167235378124986,37.70465358187499,13.655743421875002,0,0,0,1,0,0,0,0,0,0,0,0,4.157582499999999,4.470391874999999,4.877049375
329,79.88236432227274,26.831777062727276,1.7923162327409088,8.232163735272726,1.4141010559590907,19.66487592227273,24.36827802863636,7.455073212318183,2.550495374772728,37.758305218636366,13.832470382727275,0,0,0,1,0,0,0,0,0,0,0,0,4.259134545454546,5.139880454545455,5.995640909090909
560,146.30288427851247,16.9383184722314,4.963942286528924,12.218277248429755,2.0532812162231404,40.48742589272727,32.514998158264454,1.0423932741330575,1.342172348571074,41.30562322760332,15.046257762809914,0,0,0,1,0,0,0,0,0,0,0,0,4.869964545454545,5.680711900826446,6.378421157024793
578,99.796063498125,20.00559420375,1.4931066022875,3.3124290674374994,7.4551076810625005,8.4455144816875,15.114015262499995,2.1455841014375,2.9304889898124995,40.396283750625,16.125797594999998,0,0,0,1,0,0,0,0,0,0,0,0,4.734849375,5.446241875,6.1130618750000005
124,130.16600213461535,14.578948064230769,6.413465984769231,8.506316675307692,5.040362956653845,39.761867830384624,13.968172257692304,6.183652898307692,6.2274694603076926,41.40491806500001,15.263443913846155,0,0,0,1,0,0,0,0,0,0,0,0,3.998378461538462,4.3834769230769215,4.804601923076924
529,122.09862862222224,21.124394327936514,4.8805218188412685,3.4798850538095234,5.257015799190474,17.33174857396826,12.766330604349205,2.718913308253968,2.553324788907936,37.228024852539676,14.770627123809524,0,0,0,1,0,0,0,0,0,0,0,0,4.490214285714285,5.147708888888888,5.75370222222222
393,37.59151268166666,20.261932270833327,5.7101818985,6.471604081166668,6.046308854416666,12.394017933333332,8.596568138666669,3.06102715125,3.3143367628333342,37.95701759,12.762615208333335,0,0,0,1,0,0,0,0,0,0,0,0,5.442778333333332,6.022480833333333,6.644540833333334
313,219.87726758181816,10.477259511681817,6.592902562454546,0.5494286038409091,2.4709271866818185,3.993671899422728,4.700993325681818,1.8196564831045456,1.4683512982954543,41.4775615909091,14.19012732181818,0,0,0,1,0,0,0,0,0,0,0,0,4.155368181818181,4.941708181818182,5.647973636363638
1232,56.126111876,15.508345983000002,1.9580651656,0.5448157276,2.6509440945,80.98994179799999,2.4341740293000003,2.8488815929000006,21.746551155,41.207645728,141.36954248,0,0,0,0,1,0,0,0,0,0,0,0,7.913712999999999,8.435141999999999,8.702647
